id,dn_number,circle,state,city,area,type_of_build,financial_year,link_name,ce_route_id,ce_section_id,ce_subsection_id,municipal_authority,ward,road_name,start_point,end_point,authority_application_date,authority_application_number,authority_new_application_number,dn_received_date,dn_length,ri_amount,sd_amount,supervision_charge_amt,additional_charge_amt,land_length_mtrs,land_rent_start_date,land_rent_end_date,land_rent_tenure,ground_rent,access_charge,admin_charges,chamber_fee,gst,dn_amount_without_gst,dn_amount_with_gst,dn_payment_date,differential_dn_number,differential_dn_amount,differential_dn_sd,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts,permitted_no_of_ducts,work_status,date_of_refund_application,refund_application_no,sd_refund_amount,sd_deductions,remarks_for_deductions,sd_check,sd_refund_date,sd_refund_ack_no,date_of_refund_application_ri,refund_application_no_ri,ri_refund_amount,penalty_deductions,remarks_for_deductions_ri,ri_refund_date,ri_refund_ack_no
21,No.EE/Dn.II/MHP/Eoffice/I/I113922,Mumbai,Maharashtra,Mumbai,MIDC,Co-Built,25-26,MB3667,MUMU25NL011,MUMU25NL011NIMI,MUMU25NL011NIMI250418D3C3L0022,MIDC,MIDC,,,,2024-04-18,"MIDC-DIV-2/OSP/2025-26/AIRTEL/MB-3667/130 MTRS ",,2025-05-19,130.0,63000.0,25000.0,0.0,,130.0,,,,400.0,,0.0,,11412.0,88400.0,99812.0,2025-05-27,,,,,,,,,,,,,,,,,,,,,,,,,
22,NO.MBMC/PWD/1014/64/2025-26,Mumbai,Maharashtra,Mumbai,MBMC,Co-Built,25-26,MB1608,MUMU25FL012,MUMU25FL012MBMB,MUMU25FL012MBMB250411D3C3L0001,MBMC,MBMC,,Radha Krishna Hotel,Arihant “B” CHSL,2024-04-11,Airtel / MBMC /OSP/2025-26/OT/ Arihant “B” CHSL /124 Mtrs,,2025-04-30,124.0,1190400.0,119040.0,0.0,,124.0,,,,24800.0,,0.0,,218736.0,1334240.0,1552976.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,783339575,Mumbai,Maharashtra,Mumbai,B,IP-1,25-26,MUM_Route_10,MUMU25R010,MUMU25R010MCWB,MUMU25R010MCWB250403D3C3L0029,MCGM,B,,Hotel Elphinstone Annexe,Godee Area opp. Navratna Premises,2025-04-03,783339575,,2025-04-19,60.0,896160.0,448080.0,,,60.0,,,,120.0,,60.0,,,1344420.0,1344420.0,2025-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
24,783326083,Mumbai,Maharashtra,Mumbai,E,IP-1,24-25,MUM_Route_10,MUMU25R010,MUMU25R010MCWB,MUMU25R010MCWE241221D3C6L0013,MCGM,E,,"BMC E ward office "," Mirza Galibh road junction ",2024-06-26,783326083,,2024-12-21,39.0,367761.0,183880.5,,,39.0,,,,78.0,,39.0,,,551758.5,551758.5,2025-04-10,,,,,,,,,,,,,,,,,,,,,,,,,
25,KMDC/KA/Const./25,Mumbai,Maharashtra,Mumbai,A,Co-Built,,MB1585,MUMU25FL011,MUMU25FL011KDWA,MUMU25FL011KDWA250424D3C3L0017,KDMC,A,,BHIWANDI MURBAD ROAD,SHREE GANESH VANDAN BUILDING,2024-04-24,Airtel/OSP/2025-26/Open Trench/KDMC/MB-1585/130 Mtrs,,,130.0,1205005.1,120500.51,180750.76,,130.0,,,,26000.0,,0.0,,,1532256.37,1532256.37,,,,,,,,,,,,,,,,,,,,,,,,,,
26,783340649,Mumbai,Maharashtra,Mumbai,A,Co-Built,25-26,MB3135,MUMU25NL007,MUMU25NL007MCWA,MUMU25NL007MCWA250414D3C3L0016,MCGM,A,,HOTEL MANAMA,FRIENDS PREMISES,2025-04-14,783340649,,2025-05-02,38.0,567568.0,283784.0,,,38.0,,,,76.0,,38.0,,,851466.0,851466.0,2025-05-09,,,,,,,,,,,,,,,,,,,,,,,,,
27,783339212,Mumbai,Maharashtra,Mumbai,A,Co-Built,25-26,MUM_Route_131,MUMU25R131,MUMU25R131MCWA,MUMU25R131MCWA250328D3C3,MCGM,A,,NEAR SUCHITA BUILDING,NEAR HOTEL VICTORIA,2025-03-28,783339212,,2025-04-04,155.0,1613962.0,806981.0,,,155.0,,,,310.0,,155.0,,,2421408.0,2421408.0,2025-04-17,,,,,,,,,,,,,,,,,,,,,,,,,
28,KDMC/Ex.Engg/Construction/K-W/06,Mumbai,Maharashtra,Mumbai,KD,Co-Built,25-26,Mumbai_Coverage_Route13,MUMU25RC13,MUMU25RC13KDKD,MUMU25RC13KDKD250325D3C3L0026,KDMC,KD,,Jhulelal Chowk,Gold Gym,2025-03-25,AIRTEL/OSP/2024-25/Open Trench-HDD/kdmc/02,,2025-04-11,80.0,741541.6000000001,74170.16000000002,,,80.0,,,,160.0,,0.0,,,815871.7600000001,815871.7600000001,,,,,,,,,,,,,,,,,,,,,,,,,,
29,783339100,Mumbai,Maharashtra,Mumbai,A,Co-Built,25-26,MA4226,MUMU25NL003,MUMU25NL003MCWA,MUMU25NL003MCWA250404D3C3L0004,MCGM,A,,NEAR HOTEL CASTLE IN HIRA BLDG,NEAR HOTEL CASTLE IN HIRA BLDG,2025-03-27,783339100,,2025-04-04,8.0,448440.0,,,,8.0,,,,16.0,,8.0,,,448464.0,448464.0,2025-04-15,,,,,,,,,,,,,,,,,,,,,,,,,
30,NMMC/Z-2/265/2025,Mumbai,Maharashtra,Mumbai,KK,IP-1,24-25,MUM_Route_48,MUMU25R048,MUMUR048NMKK,MUMUR048NMKK250220D4C5L0011,"NMMC ",KK,,"TTC Industrial area Bharti Airtel Office ","Gami Industrial Park Pawne ",2025-03-18,ETIPL/OSP/Koperkhairne MIDC/HDD/2024-25/01,,2025-03-18,975.0,624000.0,71760.0,93600.0,,975.0,,,,195000.0,,0.0,,,984360.0,984360.0,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,
